index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
163,NT Binh,France,Positif,Million Dollar Baby ,Clint Eastwood,2004.0,Clint Eastwood,,/name/nm0000142/,"San Francisco, California, USA", USA,California,1930.0,89.0
168,NT Binh,France,Positif,The New World ,Terrence Malick,2005.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
172,Lizelle Bisschoff,UK,University of Glasgow,Moolaadé ,,,,,/name/nm0545408/,"Buffalo, New York, USA", USA,New York,1928.0,91.0
180,Christian Blauvelt,US,BBC Culture,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,"Bolinas, California, USA", USA,California,1973.0,46.0
184,Christian Blauvelt,US,BBC Culture,Star Wars: Episode III – Revenge of the Sith ,George Lucas,2005.0,George Lucas,,/name/nm0000184/,"Modesto, California, USA", USA,California,1944.0,75.0
186,Christian Blauvelt,US,BBC Culture,The Curious Case of Benjamin Button ,David Fincher,2008.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
189,Christian Blauvelt,US,BBC Culture,A Serious Man ,Joel and Ethan Coen,2009.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
200,Andreas Borcholte,Germany,Spiegel Online,Requiem for a Dream ,Darren Aronofsky,2000.0,Darren Aronofsky,,/name/nm0004716/,"Brooklyn, New York City, New York, USA", USA,New York,1969.0,50.0
204,Andreas Borcholte,Germany,Spiegel Online,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
206,Andreas Borcholte,Germany,Spiegel Online,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
208,Andreas Borcholte,Germany,Spiegel Online,Kill Bill: Vol. 1,Quentin Tarantino,2003.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
221,Richard Brody,US,The New Yorker,The Wolf of Wall Street ,Martin Scorsese,2013.0,Martin Scorsese,,/name/nm0000217/,"Queens, New York City, New York, USA", USA,New York,1942.0,77.0
224,Richard Brody,US,The New Yorker,The Grand Budapest Hotel ,Wes Anderson,2014.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
227,Richard Brody,US,The New Yorker,The Future ,Miranda July,2011.0,Miranda July,,/name/nm0432380/,"Barre, Vermont, USA", USA,Vermont,1974.0,45.0
231,Hannah Brown,Israel,Jerusalem Post,The Royal Tenenbaums ,Wes Anderson,2001.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
232,Hannah Brown,Israel,Jerusalem Post,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
235,Hannah Brown,Israel,Jerusalem Post,Footnote ,Joseph Cedar,2011.0,Joseph Cedar,,/name/nm0147737/,"New York City, New York, USA", USA,New York,1968.0,51.0
