d1,d2,d1_url
Wong Kar-wai,,/name/nm0939182/
Jacques Audiard,,/name/nm0002191/
Mira Nair,,/name/nm0619762/
László Nemes,,/name/nm1841577/
Raam Reddy,,/name/nm5339365/
Abdellatif Kechiche,,/name/nm0444244/
Danis Tanovic,,/name/nm0849786/
Ari Folman,,/name/nm0284369/
Jean-Luc Godard,,/name/nm0000419/
Martin Scorsese,,/name/nm0000217/
Claude Lanzmann,,/name/nm0487351/
Abbas Kiarostami,,/name/nm0452102/
Wes Anderson,,/name/nm0027572/
Josephine Decker,,/name/nm2528451/
Josh, Benny Safdie,/name/nm0005045/
Miranda July,,/name/nm0432380/
Leos Carax,,/name/nm0136021/
Sara Fattahi,,/name/nm7986571/
Cristian Mungiu,,/name/nm0612816/
Wes Anderson,,/name/nm0027572/
Joel, Ethan Coen,/name/nm0001054/
Ari Folman,,/name/nm0284369/
Avi Nesher,,/name/nm0626409/
Joseph Cedar,,/name/nm0147737/
Jean-Pierre, Luc Dardenne,/name/nm0077450/
Wong Kar-wai,,/name/nm0939182/
Kenneth Lonergan,,/name/nm0518836/
Eytan Fox,,/name/nm0297202/
David Lynch,,/name/nm0000186/
Paul Thomas Anderson,,/name/nm0000759/
Joel, Ethan Coen,/name/nm0001054/
Hayao Miyazaki,,/name/nm0594503/
Alfonso Cuarón,,/name/nm0190859/
Wong Kar-wai,,/name/nm0939182/
Jennifer Kent,,/name/nm0448768/
Asghar Farhadi,,/name/nm1410815/
Michael Haneke,,/name/nm0359734/
Richard Linklater,,/name/nm0000500/
Michael Haneke,,/name/nm0359734/
Wong Kar-wai,,/name/nm0939182/
Kim Ki-duk,,/title/tt1137972/
Lars von Trier,,/name/nm0001885/
Gus Van Sant,,/name/nm0001814/
Aleksandr Sokurov,,/name/nm0812546/
Fernando Meirelles, Kátia Lund,/name/nm0576987/
Jacques Audiard,,/name/nm0002191/
Cristian Mungiu,,/name/nm0612816/
Pete Docter,,/name/nm0230032/
Joel, Ethan Coen,/name/nm0001054/
Vincent Paronnaud, Marjane Satrapi,/name/nm1749112/
Andrea Arnold,,/name/nm0036349/
Guillermo Del Toro,,/name/nm0868219/
Wong Kar-wai,,/name/nm0939182/
Hayao Miyazaki,,/name/nm0594503/
George Miller,,/name/nm0004306/
Joe Cornish,,/name/nm0180428/
Michel Gondry,,/name/nm0327273/
Wes Anderson,,/name/nm0027572/
Juan José Campanella,,/name/nm0002728/
Richard Linklater,,/name/nm0000500/
Michel Gondry,,/name/nm0327273/
Brad Bird, Jan Pinkava,/name/nm0083348/
Sarah Polley,,/name/nm0001631/
Guillermo Del Toro,,/name/nm0868219/
Alejandro González Iñárritu,,/name/nm0327944/
Asghar Farhadi,,/name/nm1410815/
Steven Spielberg,,/name/nm0000229/
Baz Luhrmann,,/name/nm0525303/
David Lynch,,/name/nm0000186/
Terrence Malick,,/name/nm0000517/
Wong Kar-wai,,/name/nm0939182/
Richard Linklater,,/name/nm0000500/
Lee Chang-dong,,/name/nm0496969/
David Fincher,,/name/nm0000399/
Christopher Nolan,,/name/nm0634240/
Jean-Pierre, Luc Dardenne,/name/nm0077450/
Ang Lee,,/name/nm0000487/
Claire Denis,,/name/nm0219136/
Tommy Lee Jones,,/name/nm0000169/
Paul Thomas Anderson,,/name/nm0000759/
Asghar Farhadi,,/name/nm1410815/
Alejandro González Iñárritu,,/name/nm0327944/
Takeshi Kitano,,/name/nm0001429/
Xavier Dolan,,/name/nm0230859/
Lars von Trier,,/name/nm0001885/
Alain Gomis,,/name/nm0327120/
Ken Loach,,/name/nm0516360/
Newton I. Aduaka,,/name/nm0012529/
Joel, Ethan Coen,/name/nm0001054/
Richard Linklater,,/name/nm0000500/
David Lynch,,/name/nm0000186/
Cameron Crowe,,/name/nm0001081/
Charlie Kaufman,,/name/nm0442109/
Guillermo Del Toro,,/name/nm0868219/
Steven Spielberg,,/name/nm0000229/
David Fincher,,/name/nm0000399/
Terrence Malick,,/name/nm0000517/
Bong Joon-ho,,/name/nm0094435/
David Lynch,,/name/nm0000186/
Apichatpong Weerasethakul,,/name/nm0917405/
Hayao Miyazaki,,/name/nm0594503/
Jonathan Glazer,,/name/nm0322242/
Aleksey German,,/name/nm0314516/
George Miller,,/name/nm0004306/
Paul Thomas Anderson,,/name/nm0000759/
Sofia Coppola,,/name/nm0001068/
Larry Charles,,/name/nm0153078/
Roy Andersson,,/name/nm0027815/
George Miller,,/name/nm0004306/
Sofia Coppola,,/name/nm0001068/
Tomas Alfredson,,/name/nm0019247/
Harmony Korine,,/name/nm0005101/
Alfonso Cuarón,,/name/nm0190859/
Don Hertzfeldt,,/name/nm0381116/
Alex Garland,,/name/nm0307497/
Joss Whedon,,/name/nm0923736/
Spike Jonze,,/name/nm0005069/
Quentin Tarantino,,/name/nm0000233/
Edward Yang,,/name/nm0945981/
David Lynch,,/name/nm0000186/
Alfonso Cuarón,,/name/nm0190859/
Kenneth Lonergan,,/name/nm0518836/
Spike Jonze,,/name/nm0005069/
Bong Joon-ho,,/name/nm0094435/
Neill Blomkamp,,/name/nm0088955/
Fernando Meirelles, Kátia Lund,/name/nm0576987/
Whit Stillman,,/name/nm0001775/
Nuri Bilge Ceylan,,/name/nm0149196/
Kim Ki-duk,,/title/tt1137972/
Edward Yang,,/name/nm0945981/
David Lynch,,/name/nm0000186/
Apichatpong Weerasethakul,,/name/nm0917405/
Lav Diaz,,/name/nm0225010/
Kiyoshi Kurosawa,,/name/nm0475905/
Werner Herzog,,/name/nm0001348/
Takahisa Zeze,,/name/nm0955270/
Lav Diaz,,/name/nm0225010/
