d1,d2,d1_url,direc_birthyear,birth_place
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Juan José Campanella,,/name/nm0002728/,1959,"Buenos Aires, Argentina"
Park Chan-wook,,/name/nm0661791/,1963,"Seoul, South Korea"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Catherine Breillat,,/name/nm0106924/,1948,"Bressuire, Deux-Sèvres, France"
J. A. Bayona,,/name/nm1291105/,1975,"Barcelona, Catalonia, Spain"
Thomas Vinterberg,,/name/nm0899121/,1969,"Copenhagen, Denmark"
Harmony Korine,,/name/nm0005101/,1973,"Bolinas, California, USA"
Guy Maddin,,/name/nm0534665/,1956,"Winnipeg, Manitoba, Canada"
Roman Polanski,,/name/nm0000591/,1933,"Paris, France"
Baz Luhrmann,,/name/nm0525303/,1962,"New South Wales, Australia"
George Lucas,,/name/nm0000184/,1944,"Modesto, California, USA"
Pacho Velez, Stephanie Spray,/name/nm1381945/,,
David Fincher,,/name/nm0000399/,1962,"Denver, Colorado, USA"
Roy Andersson,,/name/nm0027815/,1943,"Gothenburg, Västra Götalands län, Sweden"
Bong Joon-ho,,/name/nm0094435/,1969,"Daegu, South Korea"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Ousmane Sembène,,/name/nm0783733/,1923,"Ziguenchor, Casamance, Senegal"
Abderrahmane Sissako,,/name/nm0803066/,1961,"Kiffa, Mauritania"
Jihan El-Tahri,,/name/nm1911613/,,
Mahamat-Saleh Haroun,,/name/nm0757958/,,
Ngozi Onwurah,,/name/nm0648937/,,
Bazi Gete,,/name/nm6514631/,,
Jean-Marie Téno,,/name/nm0879403/,1954,"Famleng, Cameroon"
Andrew Dosunmu,,/name/nm0234506/,,
Khalo Matabane,,/name/nm1988834/,,
Amma Asante,,/name/nm1392994/,,
Darren Aronofsky,,/name/nm0004716/,1969,"Brooklyn, New York City, New York, USA"
Lars von Trier,,/name/nm0001885/,1956,"Copenhagen, Denmark"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Jean-Pierre, Luc Dardenne,/name/nm0077450/,,
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Andrea Arnold,,/name/nm0036349/,1961,"Dartford, Kent, England, UK"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Quentin Tarantino,,/name/nm0000233/,1963,"Knoxville, Tennessee, USA"
Gaspar Noé,,/name/nm0637615/,1963,"Buenos Aires, Argentina"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Jacques Audiard,,/name/nm0002191/,1952,"Paris, France"
Mira Nair,,/name/nm0619762/,1957,"Bhubaneshwar, Orissa, India"
László Nemes,,/name/nm1841577/,1977,"Budapest, Hungary"
Raam Reddy,,/name/nm5339365/,,
Abdellatif Kechiche,,/name/nm0444244/,1960,"Tunis, Tunisia"
Danis Tanovic,,/name/nm0849786/,1969,"Zenica, Bosnia and Herzegovina, Yugoslavia"
Ari Folman,,/name/nm0284369/,1962,"Haifa, Israel"
Jean-Luc Godard,,/name/nm0000419/,1930,"Paris, France"
Martin Scorsese,,/name/nm0000217/,1942,"Queens, New York City, New York, USA"
